word,frequency,replacement,deleted,
use,344,usage, ,
learning,338,,,
skill,312,,,
text,300,,,
information,196,,,
major,186,,y,
words,180,word,,
minor,169,,y,
evidence,165,,,
number,132,,,
including,131,,y,
using,130,,y,
ideas,125,idea,,
two,125,,y,
support,116,,,
topic,110,,,
word,108,,,
determine,106,,,
meaning,106,,,
read,106,,,
writing,104,,,
analyze,98,,,
energy,98,,,
texts,98,,,
develop,94,,,
numbers,92,,,
data,90,,,
describe,90,,,
phrases,90,,,
provide,87,,,
events,86,,,
claims,83,claim,,
details,81,detail,,
write,80,,,
system,79,,,
solve,77,,,
appropriate,76,,,
relationships,70,relationship,,
understand,70,,y,
understanding,69,,y,
explain,68,,,
properties,68,property,,
specific,67,,,
based,63,,,
problems,63,problem,,
relevant,63,,y,
equations,62,equation,,
model,61,,,
apply,60,,,
demonstrate,59,,,
one,59,,y,
structure,59,,,
reasoning,58,,,
whole,58,,,
time,57,,,
reading,56,,,
different,55,,,
end,55,,,
interpret,55,,,
clarify,53,,,
compare,53,,,
complex,52,,,
context,52,,,
objects,52,,,
problem,52,,,
purpose,52,,,
range,52,,,
identify,51,,,
sources,51,source,,
probability,50,,,
make,49,,,
earth,48,,,
key,48,, ,
language,48,,,
presented,48,,,
analysis,47,,,
grade,47,,,
multiple,47,,,
find,46,,y,
line,46,,,
points,46,point,,
reasons,46,reason,,
represent,46,,y,
produce,45,,y,
rational,45,,,
construct,44,,,
evaluate,44,,,
form,44,,,
functions,44,function,,
operations,44,operation,,
recognize,44,,,
relationship,44,,,
standard,44,,,
questions,43,question,,
unit,43,,,
conventions,42,convention,,
research,42,,,
experiences,41,experience,,
interact,41,, ,
needed,41,,y,
concepts,40,concept,,
design,40,,,
quantities,40,quantity,,
explanation,39,,,
grades,39,grade, ,
knowledge,39,,,
style,39,,,
characters,38,character,,
create,38,, ,
development,38,,,
english,38,,,
materials,38,material,,
process,38,, ,
terms,38,term, ,
add,37,, ,
earths,37,, ,
fractions,36,,,
meanings,36,, ,
addition,35,,,
answer,35,, ,
organization,35,,,
patterns,35,pattern,,
point,35,,,
technical,35,,,
digital,34,,,
expressions,34,expression,,
others,34,,y,
place,34,, ,
command,33,, ,
common,33,,y,
complexity,33,,,
new,33,, ,
strategies,33,strategy,,
argument,32,,,
chemical,32,,,
comprehend,32,,,
draw,32,,,
event,32,,,
function,32,,,
latin,32,,,
mathematical,32,math,,
story,32,,,
triangles,32,triangle,,
view,32,,,
within,32,,y,
area,31,,,
matter,31,,,
object,31,,,
scientific,31,,,
simple,31,,y,
speaking,31,,,
used,31,,y,
definitions,30,,,
diverse,30,,,
linear,30,,,
precise,30,,,
print,30,, ,
question,30,,,
clear,29,,,
clearly,29,,,
proficiently,29,, ,
right,29,, ,
subtraction,29,,,
band,28,, ,
discussions,28,discussion, ,
facts,28,fact, ,
formal,28,,y,
fraction,28,,,
introduce,28,,y,
involving,28,,y,
natural,28,,,
particular,28,,,
real,28,,,
reflection,28,,,
,,,,
solutions,28,,,
stories,28,story, ,
topics,28,topic, ,
ask,27,, ,
human,27,, ,
possible,27,,,
unknown,27,,y,
value,27,,,
conduct,26,,,
distinguish,26,,y,
european,26,,,
french,26,,,
geographic,26,,,
geometric,26,,,
german,26,,,
health,26,,,
history,26,,,
italian,26,,,
japanese,26,,,
journalist,26,,,
lengths,26,length, ,
organisms,26,,,
section,26,,,
authors,25,,,
convey,25,,,
domain,25,,,
explicitly,25,,,
figures,25,,,
follows,25,,,
gather,25,,,
know,25,know, ,
measurement,25,,,
related,25,,y,
adults,24,adult, ,
angles,24,,,
audience,24,,,
author,24,,,
comprehension,24,,,
concluding,24,,,
contrast,24,,,
ecosystem,24,,,
frames,24,,,
general,24,,,
graph,24,,,
inferences,24,,,
investigation,24,,,
literary,24,,,
multiplication,24,,,
order,24,,,
shapes,24,,,
single,24,, ,
statement,24,,,
equation,23,,,
include,23,,y,
maintain,23,, ,
opinion,23,,,
organize,23,,,
parts,23,,,
sentences,23,,,
sequence,23,,,
subtract,23,,,
tasks,23,,y,
content,22,,,
drawing,22,, ,
forces,22,force, ,
guidance,22,,,
high,22,, ,
media,22,,,
multiply,22,,,
set,22,,,
task,22,,,
central,21,,,
establish,21,,,
expression,21,,,
figurative,21,,,
follow,21,,,
integrate,21,,,
literature,21,,,
rules,21,,,
similar,21,,,
source,21,,,
audiences,20,,,
categories,20,,,
changes,20,,,
expressing,20,,,
informational,20,,,
interpreting,20,,,
length,20,,,
lines,20,,,
similarity,20,,,
speech,20,,,
sufficient,20,,,
tone,20,,,
units,20,,,
another,19,,,
change,19,,,
circle,19,,,
coherent,19,,,
conclusions,19,,,
congruence,19,,,
developing,19,,,
division,19,,,
inequalities,19,,,
measure,19,,,
models,19,,,
multimedia,19,,,
phrase,19,,,
plane,19,,,
technology,19,,,
trait,19,,,
types,19,,,
variety,19,,,
vector,19,,,
water,19,,,
hundred,18,,,
cite,18,,y,
clauses,18,,,
extended,18,,,
flow,18,, ,
link,18,, ,
matrix,18,,,
peers,18,, ,
punctuation,18,,,
quantitative,18,,,
real,18,,,
size,18,,,
spelling,18,,,
standards,18,,,
subject,18,,,
textual,18,,,
vocabulary,18,,,
volume,18,,,
accuracy,17,,,
angle,17,,,
concrete,17,,,
differences,17,,,
drama,17,,,
energy,17,,,
engineering,17,,,
equal,17,,,
examples,17,,,
independently,17,,,
motion,17,,,
objective,17,,,
observations,17,,,
occurring,17,,,
rate,17,,,
says,17,,y,
side,17,, ,
themes,17,,,
values,17,,,
variables,17,,,
accurately,16,,,
conditional,16,,,
coordinate,16,,,
counterclaims,16,,,
course,16,,,
defining,16,,,
demonstrating,16,,y,
discussion,16,, ,
displays,16,, ,
effectively,16,,y,
,16,,,
grade,16,, ,
interactions,16,,y,
less,16,, ,
measurements,16,,,
processes,16,process, ,
prompting,16,,,
sequences,16,,,
several,16,,y,
short,16,, ,
solution,16,,,
strengthen,16,,,
supports,16,,,
trigonometric,16,,,
variation,16,,,
visual,16,,,
year,16,, ,
arguments,15,,,
build,15,,,
building,15,,y,
define,15,,y,
effective,15,,y,
four,15,, ,
frequently,15,,,
impact,15,,,
impacts,15,,y,
important,15,, ,
individual,15,,,
main,15,,,
matt,15,,y,
orally,15,, ,
plan,15,, ,
projects,15,,y,
publish,15,,y,
purposes,15,,,
respond,15,,,
sitting,15,,y,
situations,15,,,
sum,15,,,
summary,15,,,
systems,15,,,
usage,15,,y,
weather,15,,,
whole number,15,,,
adapt,14,,,
animals,14,,,
clue,14,,y,
cohesion,14,,,
contexts,14,,,
descriptive,14,,y,
discipline,14,,y,
effects,14,,y,
equivalent,14,,,
express,14,,,
features,14,,,
formats,14,,,
groups,14,,,
idea,14,,,
illustrate,14,,,
informative,14,,,
issue,14,,,
listening,14,,,
logically,14,,,
name,14,, ,
nuances,14,,,
organ,14,,,
plants,14,,,
plot,14,,,
poems,14,,,
prove,14,,,
quantity,14,,,
results,14,,,
role,14,,,
roles,14,,y,
sample,14,, ,
show,14,,,
sounds,14,,,
structures,14,,,
surface,14,,,
,14,,,
variable,14,,,
wave,14,,,
assess,13,,,
capitalization,13,,,
