subject,grade,skillId,skillIdentifier,keywords,keywords
ELA - Common Core,1,15883,RL.1.1,ask  answer questions  key details   text,ask  answer questions  key details   text
ELA - Common Core,1,15884,RL.1.2,retell stories including key details  demonstrate understanding   central message  lesson,retell stories including key details  demonstrate understanding   central message  lesson
ELA - Common Core,1,15885,RL.1.3,describe characters settings  major events   story using key details,describe characters settings  major events   story using key details
ELA - Common Core,1,15922,RL.1.4,identify words  phrases  stories  poems  suggest feelings  appeal   senses,identify words  phrases  stories  poems  suggest feelings  appeal   senses
ELA - Common Core,1,15923,RL.1.5,explain major differences  books  tell stories  books  give information drawing   wide reading   range  text types,explain major differences  books  tell stories  books  give information drawing   wide reading   range  text types
ELA - Common Core,1,15924,RL.1.6,identify   telling  story  various points   text,identify   telling  story  various points   text
ELA - Common Core,1,15960,RL.1.7,use illustrations  details   story  describe  characters setting  events,use illustrations  details   story  describe  characters setting  events
ELA - Common Core,1,15961,RL.1.9,compare  contrast  adventures  experiences  characters  stories,compare  contrast  adventures  experiences  characters  stories
ELA - Common Core,1,15985,RL.1.10, prompting  support read prose  poetry  appropriate complexity  grade 1, prompting  support read prose  poetry  appropriate complexity  grade 1
ELA - Common Core,1,16001,RI.1.1,ask  answer questions  key details   text,ask  answer questions  key details   text
ELA - Common Core,1,16002,RI.1.2,identify  main topic  retell key details   text,identify  main topic  retell key details   text
ELA - Common Core,1,16003,RI.1.3,describe  connection  two individuals events ideas  pieces  information   text,describe  connection  two individuals events ideas  pieces  information   text
ELA - Common Core,1,16040,RI.1.4,ask  answer questions  help determine  clarify  meaning  words  phrases   text,ask  answer questions  help determine  clarify  meaning  words  phrases   text
ELA - Common Core,1,16041,RI.1.5,know  use various text features  locate key facts  information   text,know  use various text features  locate key facts  information   text
ELA - Common Core,1,16042,RI.1.6,distinguish  information provided  pictures   illustrations  information provided   words   text,distinguish  information provided  pictures   illustrations  information provided   words   text
ELA - Common Core,1,16079,RI.1.7,use  illustrations  details   text  describe  key ideas,use  illustrations  details   text  describe  key ideas
ELA - Common Core,1,16080,RI.1.8,identify  reasons  author gives  support points   text,identify  reasons  author gives  support points   text
ELA - Common Core,1,16081,RI.1.9,identify basic similarities   differences  two texts    topic,identify basic similarities   differences  two texts    topic
ELA - Common Core,1,16116,RI.1.10, prompting  support read informational texts appropriately complex  grade 1, prompting  support read informational texts appropriately complex  grade 1
ELA - Common Core,1,16134,RF.1.1,demonstrate understanding   organization  basic features  print,demonstrate understanding   organization  basic features  print
ELA - Common Core,1,16135,RF.1.1.a,recognize  distinguishing features   sentence,recognize  distinguishing features   sentence
ELA - Common Core,1,16142,RF.1.2,demonstrate understanding  spoken words syllables  sounds phonemes,demonstrate understanding  spoken words syllables  sounds phonemes
ELA - Common Core,1,16143,RF.1.2.a,distinguish long  short vowel sounds  spoken singlesyllable words,distinguish long  short vowel sounds  spoken singlesyllable words
ELA - Common Core,1,16144,RF.1.2.b,orally produce singlesyllable words  blending sounds phonemes including consonant blends,orally produce singlesyllable words  blending sounds phonemes including consonant blends
ELA - Common Core,1,16145,RF.1.2.c,isolate  pronounce initial medial vowel  final sounds phonemes  spoken singlesyllable words,isolate  pronounce initial medial vowel  final sounds phonemes  spoken singlesyllable words
ELA - Common Core,1,16146,RF.1.2.d,segment spoken singlesyllable words   complete sequence  individual sounds phonemes,segment spoken singlesyllable words   complete sequence  individual sounds phonemes
ELA - Common Core,1,16152,RF.1.3,know  apply gradelevel phonics  word analysis skills  decoding words,know  apply gradelevel phonics  word analysis skills  decoding words
ELA - Common Core,1,16153,RF.1.3.a,know  spellingsound correspondences  common consonant digraphs,know  spellingsound correspondences  common consonant digraphs
ELA - Common Core,1,16154,RF.1.3.b,decode regularly spelled onesyllable words,decode regularly spelled onesyllable words
ELA - Common Core,1,16155,RF.1.3.c,know final e  common vowel team conventions  representing long vowel sounds,know final e  common vowel team conventions  representing long vowel sounds
ELA - Common Core,1,16156,RF.1.3.d,use knowledge  every syllable must   vowel sound  determine  number  syllables   printed word,use knowledge  every syllable must   vowel sound  determine  number  syllables   printed word
ELA - Common Core,1,16157,RF.1.3.e,decode twosyllable words following basic patterns  breaking  words  syllables,decode twosyllable words following basic patterns  breaking  words  syllables
ELA - Common Core,1,16158,RF.1.3.f,read words  inflectional endings,read words  inflectional endings
ELA - Common Core,1,16159,RF.1.3.g,recognize  read gradeappropriate irregularly spelled words,recognize  read gradeappropriate irregularly spelled words
ELA - Common Core,1,16177,RF.1.4,read  sufficient accuracy  fluency  support comprehension,read  sufficient accuracy  fluency  support comprehension
ELA - Common Core,1,16178,RF.1.4.a,read gradelevel text  purpose  understanding,read gradelevel text  purpose  understanding
ELA - Common Core,1,16179,RF.1.4.b,read gradelevel text orally  accuracy appropriate rate  expression  successive readings,read gradelevel text orally  accuracy appropriate rate  expression  successive readings
ELA - Common Core,1,16180,RF.1.4.c,use context  confirm  selfcorrect word recognition  understanding rereading  necessary,use context  confirm  selfcorrect word recognition  understanding rereading  necessary
ELA - Common Core,1,16323,W.1.1,write opinion pieces    introduce  topic  name  book   writing  state  opinion supply  reason   opinion  provide  sense  closure,write opinion pieces    introduce  topic  name  book   writing  state  opinion supply  reason   opinion  provide  sense  closure
ELA - Common Core,1,16324,W.1.2,write informativeexplanatory texts    name  topic supply  facts   topic  provide  sense  closure,write informativeexplanatory texts    name  topic supply  facts   topic  provide  sense  closure
ELA - Common Core,1,16325,W.1.3,write narratives    recount two   appropriately sequenced events include  details regarding  happened use temporal words  signal event order  provide  sense  closure,write narratives    recount two   appropriately sequenced events include  details regarding  happened use temporal words  signal event order  provide  sense  closure
