subject,grade,skillId,skillIdentifier,skillDesc,,,,
ELA - Common Core,1,15883,RL.1.1,Ask and answer questions about key details in a text.,,,,
ELA - Common Core,1,15884,RL.1.2,"Retell stories, including key details, and demonstrate understanding of their central message or lesson.",,,,
ELA - Common Core,1,15885,RL.1.3,"Describe characters, settings, and major events in a story, using key details.",,,,
ELA - Common Core,1,15922,RL.1.4,Identify words and phrases in stories or poems that suggest feelings or appeal to the senses.,,,,
ELA - Common Core,1,15923,RL.1.5,"Explain major differences between books that tell stories and books that give information, drawing on a wide reading of a range of text types.",,,,
ELA - Common Core,1,15924,RL.1.6,Identify who is telling the story at various points in a text.,,,,
ELA - Common Core,1,15960,RL.1.7,"Use illustrations and details in a story to describe its characters, setting, or events.",,,,
ELA - Common Core,1,15961,RL.1.9,Compare and contrast the adventures and experiences of characters in stories.,,,,
ELA - Common Core,1,15985,RL.1.10,"With prompting and support, read prose and poetry of appropriate complexity for grade 1.",,,,
ELA - Common Core,1,16001,RI.1.1,Ask and answer questions about key details in a text.,,,,
ELA - Common Core,1,16002,RI.1.2,Identify the main topic and retell key details of a text.,,,,
ELA - Common Core,1,16003,RI.1.3,"Describe the connection between two individuals, events, ideas, or pieces of information in a text.",,,,
ELA - Common Core,1,16040,RI.1.4,Ask and answer questions to help determine or clarify the meaning of words and phrases in a text.,,,,
ELA - Common Core,1,16041,RI.1.5,Know and use various text features to locate key facts or information in a text.,,,,
ELA - Common Core,1,16042,RI.1.6,Distinguish between information provided by pictures or other illustrations and information provided by the words in a text.,,,,
ELA - Common Core,1,16079,RI.1.7,Use the illustrations and details in a text to describe its key ideas.,,,,
ELA - Common Core,1,16080,RI.1.8,Identify the reasons an author gives to support points in a text.,,,,
ELA - Common Core,1,16081,RI.1.9,Identify basic similarities in and differences between two texts on the same topic.,,,,
ELA - Common Core,1,16116,RI.1.10,"With prompting and support, read informational texts appropriately complex for grade 1.",,,,
ELA - Common Core,1,16134,RF.1.1,Demonstrate understanding of the organization and basic features of print.,,,,
