id,skill_identifier,grade,parent_id,subject,parent_skill_identifier,type,description,skill_short_name,name
999008,HSF.BF.A.1.a,"Grade 9,Grade 10,Grade 11,Grade 12",15280,Math - Common Core,HSF.BF.A.1,SUB_ELO,"Determine an explicit expression, a recursive process, or steps for calculation from a context.","Determine an explicit expression, a recursive process, or steps for calculation from a context.","Determine an explicit expression, a recursive process, or steps for calculation from a context."
999009,HSF.BF.A.1.b,"Grade 9,Grade 10,Grade 11,Grade 12",15280,Math - Common Core,HSF.BF.A.1,SUB_ELO,Combine standard function types using arithmetic operations.,Combine standard function types using arithmetic operations.,Combine standard function types using arithmetic operations.
999010,HSF.BF.A.1.c,"Grade 9,Grade 10,Grade 11,Grade 12",15280,Math - Common Core,HSF.BF.A.1,SUB_ELO,(+) Compose functions.,(+) Compose functions.,(+) Compose functions.
999011,HSF.BF.B.4.a,"Grade 9,Grade 10,Grade 11,Grade 12",15280,Math - Common Core,HSF.BF.B.4,SUB_ELO,Solve an equation of the form f(x) = c for a simple function f that has an inverse and write an expression for the inverse.,Solve an equation of the form f(x) = c for a simple function f that has an inverse and write an expression for the inverse.,Solve an equation of the form f(x) = c for a simple function f that has an inverse and write an expression for the inverse.
999012,HSF.BF.B.4.b,"Grade 9,Grade 10,Grade 11,Grade 12",15280,Math - Common Core,HSF.BF.B.4,SUB_ELO,(+) Verify by composition that one function is the inverse of another.,(+) Verify by composition that one function is the inverse of another.,(+) Verify by composition that one function is the inverse of another.
999013,HSF.BF.B.4.c,"Grade 9,Grade 10,Grade 11,Grade 12",15280,Math - Common Core,HSF.BF.B.4,SUB_ELO,"(+) Read values of an inverse function from a graph or a table, given that the function has an inverse.","(+) Read values of an inverse function from a graph or a table, given that the function has an inverse.","(+) Read values of an inverse function from a graph or a table, given that the function has an inverse."
999014,HSF.BF.B.4.d,"Grade 9,Grade 10,Grade 11,Grade 12",15280,Math - Common Core,HSF.BF.B.4,SUB_ELO,(+) Produce an invertible function from a non-invertible function by restricting the domain.,(+) Produce an invertible function from a non-invertible function by restricting the domain.,(+) Produce an invertible function from a non-invertible function by restricting the domain.
999022,HSF.LE.A.1.a,"Grade 9,Grade 10,Grade 11,Grade 12",15280,Math - Common Core,HSF.LE.A.1,SUB_ELO,"Prove that linear functions grow by equal differences over equal intervals, and that exponential functions grow by equal factors over equal intervals.","Prove that linear functions grow by equal differences over equal intervals, and that exponential functions grow by equal factors over equal intervals.","Prove that linear functions grow by equal differences over equal intervals, and that exponential functions grow by equal factors over equal intervals."
999023,HSF.LE.A.1.b,"Grade 9,Grade 10,Grade 11,Grade 12",15280,Math - Common Core,HSF.LE.A.1,SUB_ELO,Recognize situations in which one quantity changes at a constant rate per unit interval relative to another.,Recognize situations in which one quantity changes at a constant rate per unit interval relative to another.,Recognize situations in which one quantity changes at a constant rate per unit interval relative to another.
999024,HSF.LE.A.1.c,"Grade 9,Grade 10,Grade 11,Grade 12",15280,Math - Common Core,HSF.LE.A.1,SUB_ELO,Recognize situations in which a quantity grows or decays by a constant percent rate per unit interval relative to another.,Recognize situations in which a quantity grows or decays by a constant percent rate per unit interval relative to another.,Recognize situations in which a quantity grows or decays by a constant percent rate per unit interval relative to another.
999027,HSS.ID.B.6.a,"Grade 9,Grade 10,Grade 11,Grade 12",15283,Math - Common Core,HSS.ID.B.6,SUB_ELO,Fit a function to the data; use functions fitted to data to solve problems in the context of the data.,Fit a function to the data; use functions fitted to data to solve problems in the context of the data.,Fit a function to the data; use functions fitted to data to solve problems in the context of the data.
999028,HSS.ID.B.6.b,"Grade 9,Grade 10,Grade 11,Grade 12",15283,Math - Common Core,HSS.ID.B.6,SUB_ELO,Informally assess the fit of a function by plotting and analyzing residuals.,Informally assess the fit of a function by plotting and analyzing residuals.,Informally assess the fit of a function by plotting and analyzing residuals.
999029,HSS.ID.B.6.c,"Grade 9,Grade 10,Grade 11,Grade 12",15283,Math - Common Core,HSS.ID.B.6,SUB_ELO,Fit a linear function for a scatter plot that suggests a linear association.,Fit a linear function for a scatter plot that suggests a linear association.,Fit a linear function for a scatter plot that suggests a linear association.
999030,HSS.MD.B.5.a,"Grade 9,Grade 10,Grade 11,Grade 12",15283,Math - Common Core,HSS.MD.B.5,SUB_ELO,Find the expected payoff for a game of chance.,Find the expected payoff for a game of chance.,Find the expected payoff for a game of chance.
999015,HSF.IF.C.7.a,"Grade 9,Grade 10,Grade 11,Grade 12",15280,Math - Common Core,HSF.IF.C.7,SUB_ELO,"Graph linear and quadratic functions and show intercepts, maxima, and minima.","Graph linear and quadratic functions and show intercepts, maxima, and minima.","Graph linear and quadratic functions and show intercepts, maxima, and minima."
999016,HSF.IF.C.7.b,"Grade 9,Grade 10,Grade 11,Grade 12",15280,Math - Common Core,HSF.IF.C.7,SUB_ELO,"Graph square root, cube root, and piecewise-defined functions, including step functions and absolute value functions.","Graph square root, cube root, and piecewise-defined functions, including step functions and absolute value functions.","Graph square root, cube root, and piecewise-defined functions, including step functions and absolute value functions."
999017,HSF.IF.C.7.c,"Grade 9,Grade 10,Grade 11,Grade 12",15280,Math - Common Core,HSF.IF.C.7,SUB_ELO,"Graph polynomial functions, identifying zeros when suitable factorizations are available, and showing end behavior.","Graph polynomial functions, identifying zeros when suitable factorizations are available, and showing end behavior.","Graph polynomial functions, identifying zeros when suitable factorizations are available, and showing end behavior."
999018,HSF.IF.C.7.d,"Grade 9,Grade 10,Grade 11,Grade 12",15280,Math - Common Core,HSF.IF.C.7,SUB_ELO,"(+) Graph rational functions, identifying zeros and asymptotes when suitable factorizations are available, and showing end behavior.","(+) Graph rational functions, identifying zeros and asymptotes when suitable factorizations are available, and showing end behavior.","(+) Graph rational functions, identifying zeros and asymptotes when suitable factorizations are available, and showing end behavior."
999019,HSF.IF.C.7.e,"Grade 9,Grade 10,Grade 11,Grade 12",15280,Math - Common Core,HSF.IF.C.7,SUB_ELO,"Graph exponential and logarithmic functions, showing intercepts and end behavior, and trigonometric functions, showing period, midline, and amplitude.","Graph exponential and logarithmic functions, showing intercepts and end behavior, and trigonometric functions, showing period, midline, and amplitude.","Graph exponential and logarithmic functions, showing intercepts and end behavior, and trigonometric functions, showing period, midline, and amplitude."
999020,HSF.IF.C.8.a,"Grade 9,Grade 10,Grade 11,Grade 12",15280,Math - Common Core,HSF.IF.C.8,SUB_ELO,"Use the process of factoring and completing the square in a quadratic function to show zeros, extreme values, and symmetry of the graph, and interpret these in terms of a context.","Use the process of factoring and completing the square in a quadratic function to show zeros, extreme values, and symmetry of the graph, and interpret these in terms of a context.","Use the process of factoring and completing the square in a quadratic function to show zeros, extreme values, and symmetry of the graph, and interpret these in terms of a context."
999021,HSF.IF.C.8.b,"Grade 9,Grade 10,Grade 11,Grade 12",15280,Math - Common Core,HSF.IF.C.8,SUB_ELO,Use the properties of exponents to interpret expressions for exponential functions.,Use the properties of exponents to interpret expressions for exponential functions.,Use the properties of exponents to interpret expressions for exponential functions.
999003,HSA.SSE.A.1.a,"Grade 9,Grade 10,Grade 11,Grade 12",15279,Math - Common Core,HSA.SSE.A.1,SUB_ELO,"Interpret parts of an expression, such as terms, factors, and coefficients.","Interpret parts of an expression, such as terms, factors, and coefficients.","Interpret parts of an expression, such as terms, factors, and coefficients."
999004,HSA.SSE.A.1.b,"Grade 9,Grade 10,Grade 11,Grade 12",15279,Math - Common Core,HSA.SSE.A.1,SUB_ELO,Interpret complicated expressions by viewing one or more of their parts as a single entity.,Interpret complicated expressions by viewing one or more of their parts as a single entity.,Interpret complicated expressions by viewing one or more of their parts as a single entity.
999005,HSA.SSE.B.3.a,"Grade 9,Grade 10,Grade 11,Grade 12",15279,Math - Common Core,HSA.SSE.B.3,SUB_ELO,Factor a quadratic expression to reveal the zeros of the function it defines.,Factor a quadratic expression to reveal the zeros of the function it defines.,Factor a quadratic expression to reveal the zeros of the function it defines.
999006,HSA.SSE.B.3.b,"Grade 9,Grade 10,Grade 11,Grade 12",15279,Math - Common Core,HSA.SSE.B.3,SUB_ELO,Complete the square in a quadratic expression to reveal the maximum or minimum value of the function it defines.,Complete the square in a quadratic expression to reveal the maximum or minimum value of the function it defines.,Complete the square in a quadratic expression to reveal the maximum or minimum value of the function it defines.
999007,HSA.SSE.B.3.c,"Grade 9,Grade 10,Grade 11,Grade 12",15279,Math - Common Core,HSA.SSE.B.3,SUB_ELO,Use the properties of exponents to transform expressions for exponential functions.,Use the properties of exponents to transform expressions for exponential functions.,Use the properties of exponents to transform expressions for exponential functions.
999001,HSA.REI.B.4.a,"Grade 9,Grade 10,Grade 11,Grade 12",15279,Math - Common Core,HSA.REI.B.4,SUB_ELO,Use the method of completing the square to transform any quadratic equation in x into an equation of the form (x - p)² = q that has the same solutions. Derive the quadratic formula from this form.,Use the method of completing the square to transform any quadratic equation in x into an equation of the form (x - p)² = q that has the same solutions. Derive the quadratic formula from this form.,Use the method of completing the square to transform any quadratic equation in x into an equation of the form (x - p)² = q that has the same solutions. Derive the quadratic formula from this form.
999002,HSA.REI.B.4.b,"Grade 9,Grade 10,Grade 11,Grade 12",15279,Math - Common Core,HSA.REI.B.4,SUB_ELO,"Solve quadratic equations by inspection (e.g., for x² = 49), taking square roots, completing the square, the quadratic formula and factoring, as appropriate to the initial form of the equation. Recognize when the quadratic formula gives complex solutions and write them as a ± bi for real numbers a and b.","Solve quadratic equations by inspection (e.g., for x² = 49), taking square roots, completing the square, the quadratic formula and factoring, as appropriate to the initial form of the equation. Recognize when the quadratic formula gives complex solutions and write them as a ± bi for real numbers a and b.","Solve quadratic equations by inspection (e.g., for x² = 49), taking square roots, completing the square, the quadratic formula and factoring, as appropriate to the initial form of the equation. Recognize when the quadratic formula gives complex solutions and write them as a ± bi for real numbers a and b."
999039,RF.1.3.g,Grade 1,17796,ELA - Common Core,RF.1.3,SUB_ELO,Recognize and read grade-appropriate irregularly spelled words.,Recognize and read grade-appropriate irregularly spelled words.,Recognize and read grade-appropriate irregularly spelled words.
999031,L.1.1.g,Grade 1,17827,ELA - Common Core,L.1.1,SUB_ELO,"Use frequently occurring conjunctions (e.g., and, but, or, so, because).","Use frequently occurring conjunctions (e.g., and, but, or, so, because).","Use frequently occurring conjunctions (e.g., and, but, or, so, because)."
999032,L.1.1.h,Grade 1,17827,ELA - Common Core,L.1.1,SUB_ELO,"Use determiners (e.g., articles, demonstratives).","Use determiners (e.g., articles, demonstratives).","Use determiners (e.g., articles, demonstratives)."
999033,L.1.1.i,Grade 1,17827,ELA - Common Core,L.1.1,SUB_ELO,"Use frequently occurring prepositions (e.g., during, beyond, toward).","Use frequently occurring prepositions (e.g., during, beyond, toward).","Use frequently occurring prepositions (e.g., during, beyond, toward)."
999034,L.1.1.j,Grade 1,17827,ELA - Common Core,L.1.1,SUB_ELO,"Produce and expand complete simple and compound declarative, interrogative, imperative, and exclamatory sentences in response to prompts.","Produce and expand complete simple and compound declarative, interrogative, imperative, and exclamatory sentences in response to prompts.","Produce and expand complete simple and compound declarative, interrogative, imperative, and exclamatory sentences in response to prompts."
999035,L.3.1.g,Grade 3,17829,ELA - Common Core,L.3.1,SUB_ELO,"Form and use comparative and superlative adjectives and adverbs, and choose between them depending on what is to be modified.","Form and use comparative and superlative adjectives and adverbs, and choose between them depending on what is to be modified.","Form and use comparative and superlative adjectives and adverbs, and choose between them depending on what is to be modified."
999036,L.3.1.h,Grade 3,17829,ELA - Common Core,L.3.1,SUB_ELO,Use coordinating and subordinating conjunctions.,Use coordinating and subordinating conjunctions.,Use coordinating and subordinating conjunctions.
999037,L.3.1.i,Grade 3,17829,ELA - Common Core,L.3.1,SUB_ELO,"Produce simple, compound, and complex sentences.","Produce simple, compound, and complex sentences.","Produce simple, compound, and complex sentences."
999038,L.4.1.g,Grade 4,17830,ELA - Common Core,L.4.1,SUB_ELO,"Correctly use frequently confused words (e.g., to, too, two; there, their).","Correctly use frequently confused words (e.g., to, too, two; there, their).","Correctly use frequently confused words (e.g., to, too, two; there, their)."
999025,HSG.SRT.A.1.a,"Grade 9,Grade 10,Grade 11,Grade 12",15282,Math - Common Core,HSG.SRT.A.1,SUB_ELO,"A dilation takes a line not passing through the center of the dilation to a parallel line, and leaves a line passing through the center unchanged.","A dilation takes a line not passing through the center of the dilation to a parallel line, and leaves a line passing through the center unchanged.","A dilation takes a line not passing through the center of the dilation to a parallel line, and leaves a line passing through the center unchanged."
999026,HSG.SRT.A.1.b,"Grade 9,Grade 10,Grade 11,Grade 12",15282,Math - Common Core,HSG.SRT.A.1,SUB_ELO,The dilation of a line segment is longer or shorter in the ratio given by the scale factor.,The dilation of a line segment is longer or shorter in the ratio given by the scale factor.,The dilation of a line segment is longer or shorter in the ratio given by the scale factor.
